danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,chorus_hit,sections,decade,target
0.674,0.543,-10.978,0.0395,0.583,0.415,0.0822,0.835,86.438,237813,92.68759,7,90s,0
0.458,0.598,-10.761,0.0429,0.352,9.82e-06,0.0962,0.635,103.566,141787,36.54878,6,70s,0
0.708,0.507,-8.47,0.0929,0.112,0.0133,0.0505,0.751,203.983,169413,28.25001,7,10s,0
0.565,0.71,-11.315,0.0344,0.192,0.000511,0.207,0.871,92.762,251840,31.67502,10,80s,1
0.517,0.918,-6.965,0.0489,0.0591,0.0,0.296,0.641,137.136,280133,39.9848,13,90s,1
0.382,0.551,-8.051,0.0352,0.238,1.96e-06,0.136,0.852,74.284,145869,79.75417,6,70s,1
0.695,0.763,-11.27,0.0449,0.0472,0.0616,0.118,0.606,109.137,253040,47.02574,9,80s,0
0.68,0.909,-7.577,0.0308,0.231,8.05e-05,0.109,0.899,102.501,254667,56.9572,13,90s,0
0.228,0.358,-7.161,0.0306,0.582,2.84e-06,0.129,0.324,179.652,141840,51.8319,6,60s,1
0.206,0.982,-5.79,0.123,0.000222,0.00319,0.106,0.383,181.927,171613,39.18114,7,90s,0
0.168,0.903,-12.011,0.054,0.000256,0.0278,0.9,0.386,74.87,342307,30.63537,13,80s,0
0.297,0.481,-7.681,0.0278,0.574,0.00352,0.094,0.456,139.896,213973,37.26236,11,70s,1
0.439,0.432,-6.996,0.0284,0.802,1.67e-05,0.227,0.279,86.467,183067,52.90314,7,60s,1
0.334,0.622,-5.611,0.0632,0.0826,1.34e-05,0.106,0.209,139.546,216000,55.50734,10,10s,1
0.547,0.576,-11.511,0.0408,0.522,0.00647,0.119,0.846,145.207,188800,47.39777,8,80s,1
0.588,0.877,-4.78,0.16,0.00952,0.0,0.171,0.645,155.165,326187,31.32068,19,00s,1
0.651,0.0986,-25.281,0.944,0.406,0.0,0.324,0.153,82.821,124640,34.12988,5,60s,0
0.458,0.476,-7.737,0.0308,0.477,2.14e-05,0.12,0.247,149.398,195067,45.05292,8,90s,1
0.688,0.666,-11.945,0.032,0.34,0.0,0.0593,0.727,134.389,261688,79.47063,9,80s,1
0.888,0.702,-4.059,0.209,0.00358,0.0,0.0358,0.754,97.954,242573,29.31391,10,90s,1
0.866,0.543,-6.973,0.165,0.0122,4.19e-05,0.334,0.761,139.927,260173,43.93793,13,10s,0
0.77,0.345,-7.798,0.034,0.122,0.0,0.103,0.53,119.903,193347,36.13234,8,10s,0
0.463,0.629,-7.075,0.0269,0.0524,0.0,0.176,0.459,81.797,221387,112.48414,5,80s,1
0.642,0.455,-9.695,0.0578,0.748,0.0307,0.0966,0.888,149.21,167480,20.40889,9,60s,1
0.651,0.709,-8.817,0.049,0.491,0.0,0.099,0.942,90.851,139200,17.51767,7,60s,1
0.613,0.783,-9.55,0.0353,0.00408,4.65e-06,0.0446,0.83,159.291,251867,30.89801,14,90s,1
0.74,0.783,-5.367,0.0427,0.0297,0.000308,0.123,0.812,100.011,212893,19.72847,13,00s,1
0.346,0.585,-12.26,0.0458,0.306,0.168,0.108,0.291,136.434,398400,31.08156,13,90s,0
0.392,0.936,-6.532,0.0849,0.000221,0.839,0.407,0.564,167.333,266387,52.18739,9,80s,0
0.228,0.969,-4.07,0.1,0.000275,0.0,0.0982,0.428,155.212,187960,23.59964,11,00s,0
0.884,0.334,-18.943,0.228,0.0476,0.0588,0.107,0.571,98.315,261267,30.81623,10,90s,1
0.701,0.15,-18.456,0.944,0.885,0.0,0.115,0.462,79.012,386520,32.85627,18,60s,0
0.539,0.337,-14.195,0.0449,0.792,0.0,0.242,0.927,173.629,142027,44.85102,7,60s,1
0.628,0.278,-16.662,0.0483,0.566,0.0745,0.0685,0.547,104.09,169653,28.14322,8,60s,0
0.708,0.19,-16.578,0.0326,0.194,0.226,0.0916,0.47,93.669,252493,41.74912,10,90s,1
0.555,0.638,-5.012,0.027,0.313,0.0,0.122,0.185,102.676,173267,29.05789,10,10s,1
0.652,0.802,-6.114,0.181,0.0871,6.45e-06,0.148,0.295,170.157,211933,24.10787,11,10s,1
0.759,0.984,-3.76,0.153,0.478,0.00132,0.113,0.926,107.947,425733,123.68589,13,70s,1
0.593,0.992,-5.797,0.064,0.75,0.871,0.171,0.574,132.179,93987,29.68781,5,80s,0
0.28,0.963,-8.108,0.124,1.18e-05,0.0566,0.419,0.0673,141.524,257973,31.75614,15,90s,0
0.545,0.366,-9.51,0.0378,0.969,0.267,0.641,0.1,86.997,208212,25.78628,6,10s,1
0.716,0.741,-6.549,0.0673,0.297,0.0,0.0409,0.817,128.099,151533,64.8579,6,60s,1
0.173,0.997,-3.692,0.195,1.03e-05,0.631,0.324,0.0329,121.013,96013,28.09894,6,00s,0
0.437,0.547,-12.16,0.0529,0.806,0.919,0.0781,0.979,184.04,419747,60.49079,15,00s,0
0.243,0.932,-8.057,0.0738,0.00794,0.0,0.312,0.698,198.347,129960,25.23451,7,70s,0
0.798,0.312,-16.142,0.075,0.618,0.0,0.144,0.388,135.395,177627,41.30774,9,80s,0
0.362,0.233,-17.927,0.0369,0.75,0.906,0.0454,0.434,139.334,92640,37.5969,5,80s,0
0.539,0.583,-4.935,0.0275,0.108,0.0,0.111,0.337,86.063,328093,23.44252,12,90s,1
0.543,0.378,-14.631,0.028,0.239,0.0,0.099,0.501,156.222,281573,40.566,12,80s,1
0.829,0.604,-14.044,0.0304,0.118,1.62e-05,0.0746,0.881,125.332,227281,34.73104,12,80s,1
0.554,0.0869,-17.425,0.0747,0.922,0.00845,0.194,0.281,108.049,145960,71.37734,5,60s,0
0.267,0.0118,-23.415,0.0346,0.995,0.904,0.119,0.107,62.966,157219,45.87624,9,10s,0
0.576,0.268,-14.313,0.0294,0.547,5.17e-05,0.118,0.175,115.952,298760,46.90963,12,90s,1
0.544,0.884,-8.166,0.144,0.663,7.26e-06,0.381,0.467,127.215,224667,39.20222,11,70s,1
0.33,0.223,-13.374,0.0332,0.432,0.000114,0.167,0.135,128.898,204507,49.75527,11,80s,0
0.596,0.256,-6.9,0.0283,0.519,2.23e-06,0.209,0.572,97.229,184653,50.02258,7,60s,0
0.756,0.422,-12.967,0.0292,0.0165,0.00183,0.0368,0.487,112.751,304133,83.52186,9,90s,1
0.431,0.5,-7.053,0.0318,0.802,9.87e-06,0.34,0.581,123.375,165053,49.43828,8,60s,1
0.517,0.676,-9.479,0.033,0.42,0.000469,0.158,0.591,116.918,195533,35.3606,10,70s,1
0.498,0.796,-4.882,0.0453,0.607,0.0,0.3,0.906,79.648,157027,30.47367,9,60s,1
0.578,0.237,-13.313,0.0293,0.947,0.918,0.12,0.0671,100.007,159600,119.03225,4,10s,0
0.381,0.448,-11.952,0.0987,0.499,0.0,0.0769,0.34,78.682,208467,43.20812,7,80s,0
